31,Rockefeller Foundation,https://www.rockefellerfoundation.org,"Health, Food, Water, Power, Jobs, Resilient Cities, Innovation, Co-impact",USD,30000,10000000,"Africa, Asia and Pacific, Europe and Eurasia, Latin America / Caribbean, North America, Middle East and North Africa",Venture Capital,"https://www.rockefellerfoundation.org, https://www.rockefellerfoundation.org/our-work/, https://www.rockefellerfoundation.org/our-work/topics/health/, https://www.rockefellerfoundation.org/our-work/topics/food/, https://www.rockefellerfoundation.org/our-work/topics/power/, https://www.rockefellerfoundation.org/our-work/topics/jobs/, https://www.rockefellerfoundation.org/our-work/topics/resilientcities/, https://www.rockefellerfoundation.org/our-work/topics/innovation/, https://www.rockefellerfoundation.org/our-work/topics/co-impact/, https://www.rockefellerfoundation.org/changing-work/",
32,Skoll Foundation,http://skoll.org/,"Economic Opportunity, Education, Environmental Sustainability, Health, Peace and Human Rights, Sustainable Markets",USD,1250000,1500000,ALL,Venture Capital,"http://skoll.org/, http://skoll.org/about/approach/, http://skoll.org/about/programs/, http://skoll.org/about/skoll-awards/, http://skoll.org/about/issue-areas/, http://skoll.org/issue-areas/economic-opportunity/, http://skoll.org/issue-areas/education/, http://skoll.org/issue-areas/environmental-sustainability/, http://skoll.org/issue-areas/health/,http://skoll.org/issue-areas/peace-human-rights/, http://skoll.org/issue-areas/sustainable-markets/",foundation cultivates social entrepreneurship focus models can spark large-scale change . also engages developing strengthening field social entrepreneurship .
33,Tony Elumelu Foundation,http://tonyelumelufoundation.org/,"Agriculture, Youth, Economic Growth and Trade, Diaspora, Acceleration, Communications and Media, Public-Private, Partnerships, Resilience, Scale, Social Impact Investing, Talent Management, Venture Capital",USD,5000,5000,Africa,Angel Investor,"http://tonyelumelufoundation.org/, http://tonyelumelufoundation.org/about-us, http://tonyelumelufoundation.org/programmes, http://tonyelumelufoundation.org/programmes/7pillars, http://tonyelumelufoundation.org/alumni/entrepreneurs","tony foundation philanthropic organization focused supporting entrepreneurship continent enhancing competitiveness private sector . foundation engages impact investing , grant making policy development ."
34,Accion International,https://www.accion.org/,,USD,300000,500000,"Asia, Latin America, sub-Saharan Africa, United States",Angel Investor,"https://www.accion.org/, https://www.accion.org/about/, https://www.accion.org/how-we-work/, https://www.accion.org/how-we-work/advise/, https://www.accion.org/how-we-work/invest/, https://www.accion.org/how-we-work/invest/accion-global-investments/, https://www.accion.org/how-we-work/invest/accion-venture-lab, https://www.accion.org/how-we-work/invest/accion-frontier-investments, https://www.accion.org/students-and-shop-owners-benefit-from-tech-and-touch-in-latin-america, https://www.accion.org/subbah-was-skeptical-about-online-lending-now-hes-changed-his-mind, https://www.accion.org/two-african-startups-where-inclusive-fintech-comes-with-a-human-touch, https://www.accion.org/how-we-work/influence/","accion global non-profit organization vision build financially inclusive world . invests accion gateway fund , accion ’ s bridge guarantee program , venture lab frontier investments group ."
35,Agri-Vie,http://agrivie.com/,"Food, energy, agriculture, forestry, health",USD,6000000,6000000,Sub-Sahara Africa,Angel Investor,"http://agrivie.com/, http://agrivie.com/about-agri-vie/, http://agrivie.com/investment-approach/investment-focus/, http://agrivie.com/investment-approach/transaction-parameters/, http://agrivie.com/investment-approach/investment-criteria/, http://agrivie.com/investment-approach/investment-process/, http://agrivie.com/investment-approach/investment-period/, http://agrivie.com/investment-approach/partnership-commitment/,http://agrivie.com/investment-approach/black-economic-empowerment/? http://agrivie.com/investors-list/#investor-178",private equity investment fund focused food agribusiness sub-saharan africa .
36,AlphaMundi Group Ltd,https://www.alphamundi.ch/,sustainable development,USD,250000,2000000,"Latin America, East Africa",Angel Investor,"https://www.alphamundi.ch/, https://www.alphamundi.ch/portfolio-1, https://www.alphamundi.ch/copy-of-investment-strategy, https://www.alphamundi.ch/impact, https://www.alphamundi.ch/copy-of-impact","impact investing scalable ventures sustainable human development sectors uganda , kenya , tanzania , malawi ."
37,Ariya Capital,https://www.ariyacapital.com/,CLEAN ENERGY,,,,,Angel Investor,"https://www.ariyacapital.com/, https://ariyafinergy.com/, https://www.walvisbaypowerplant.com/",ariya capital private equity venture capital firm focusing sustainable investments frontier markets small mid-market opportunities . invest startups can consider investments early stage companies .
38,BlueOrchard Impact Investment Managers,http://www.blueorchard.com/,"Financial inclusion (poverty) Education, Climate ",USD,3000000,15000000,,Venture Capital,"http://www.blueorchard.com/, http://www.blueorchard.com/about-us/, http://www.blueorchard.com/investment-expertise/, http://www.blueorchard.com/investment-expertise/what-we-do/, http://www.blueorchard.com/investment-expertise/credit/, http://www.blueorchard.com/investment-expertise/private-equity/,http://www.blueorchard.com/investment-expertise/sustainable-infrastructure/, http://www.blueorchard.com/impact-investing/concept/, http://www.blueorchard.com/impact-investing/financial-inclusion/, http://www.blueorchard.com/impact-investing/education/, http://www.blueorchard.com/impact-investing/climate/, http://www.blueorchard.com/impact-investing/social-performance-management/","manages microfinance fund invests microfinance institutions emerging frontier markets support expanding outreach , improving quality financial services , encourage development new products savings , insurance payment services ."
39,Catalyst Principal Partners,https://www.catalystprincipal.com/,"Consumer goods and retail, Financial and business services, Industrials, manufacturing and value-add processing, Technology and telecommunications",USD,5000000,20000000,Eastern Africa,Angel Investor,"https://www.catalystprincipal.com/, https://www.catalystprincipal.com/fund/, https://www.catalystprincipal.com/company/, https://www.catalystprincipal.com/sustainability/",catalyst principal partners manages eastern private equity fund invest growing regional businesses . also actively pursues replacement capital investments provide exits existing shareholders seeking liquidity .
40,Developing World Markets (DWM),https://www.dwmarkets.com/,"Climate action, infrastructure, energy, gender equality, education, health",USD,8000000,8000000,"South Asia, South East Asia, East Asia, South America, Central America, Caucasus and Central Asia, Eastern Europe, Africa and Middle East ",Venture Capital,"https://www.dwmarkets.com/, https://www.dwmarkets.com/our-investments/, https://www.dwmarkets.com/our-financing-at-work/, https://www.dwmarkets.com/wp-content/uploads/2019/01/dwm-2018-impact-report-1.pdf",asset manager investment bank .
41,DOB Equity,,,,,,,,,
42,Gawa Capital,,,,,,,,,
43,Good Capital LLC,,,,,,,,,
44,Grassroots Business Fund,,,,,,,,,
45,Gray Ghost Ventures (GGV),,,,,,,,,
46,Heart Capital,,,,,,,,,
47,Ignite Fund,,,,,,,,,
48,Injaro Agricultural Capital Holdings Ltd.,,,,,,,,,
49,International Housing Solutions (IHS),,,,,,,,,
50,Investisseurs & Partenaires (I&P),,,,,,,,,
51,LeapFrog Investments,,,,,,,,,
52,Mergence Investment Managers,,,,,,,,,
53,MicroCredit Enterprises,,,,,,,,,
54,Microvest Capital Management,,,,,,,,,
55,Moringa Partnership,,,,,,,,,
56,Novastar Ventures Limited,,,,,,,,,
57,Pearl Capital Partners,,,,,,,,,
58,Phatisa Fund Managers Limited,,,,,,,,,
59,Photovoltaic Market,,,,,,,,,
60,Transformation Initiative (PVMTI),,,,,,,,,
61,REGMIFA (Regional Micro,,,,,,,,,
62,responsAbility,,,,,,,,,
63,Root Capital,,,,,,,,,
64,Sarona Asset Management,,,,,,,,,
65,Social Venture Capital Fund (SOVEC),,,,,,,,,
66,Symbiotics,,,,,,,,,
67,Terra Global Investment Management,,,,,,,,,
68,The Investment Fund For         Health In Africa,,,,,,,,,
69,Treetops Capital,,,,,,,,,
70,Triodos Investment Management,,,,,,,,,
71,UFF Management,,,,,,,,,
72,Unique Venture Capital (UVC) Management Company Limited,,,,,,,,,
73,Vital Capital,,,,,,,,,
74,Willow Impact Investors,,,,,,,,,
75,Yunus Social Business (YSB),,,,,,,,,
76,The BiD Network,,,,,,,,,
77,Dalberg Global Development Advisors,,,,,,,,,
78,Enclude Solutions,,,,,,,,,
79,Endeavor Global,,,,,,,,,
80,Impact Amplifier,,,,,,,,,
81,LifeCo UnLtd South Africa,,,,,,,,,
82,Open Capital Advisors,,,,,,,,,
83,Shell Foundation,,,,,,,,,
84,Social Enterprise Academy South Africa,,,,,,,,,
85,Technoserve,,,,,,,,,
86, funded bill melinda gates foundation ,,,,,,,,,
87,Bertha Centre for,,,,,,,,,
88,"Lagos Business School (LBS), Nigeria",,,,,,,,,
89, responding regulatory environment macroeconomic risk management . course covers various issues management individuals ,,,,,,,,,
90,"Strathmore Business School (SBS), Kenya",,,,,,,,,
91,Aspen Network of Development,,,,,,,,,
92,Global Impact Investing Network (GIIN),,,,,,,,,
93,Southern African Impact Investing Network (SAIIN),,,,,,,,,
94,Global Impact Investing Rating System (GIIRS),,,,,,,,,
95,Global Alliance for Clean Cookstoves,,,,,,,,,
96,Draper Richards Kaplan Foundation,,,,,,,,,
97,JP Morgan Chase & Co,,,,,,,,,
98,Abraaj Group,http://www.abraaj.com/,,,,,,,,
